states,x,y
Andhrapradesh,-90.0,-132.0
Arunachalpradesh,224.0,163.0
Assam,204.0,120.0
Bihar,59.0,101.0
Chhattisgarh,-19.0,14.0
Goa,-184.0,-128.0
Gujarat,-245.0,25.0
Haryana,-139.0,185.0
Himachalpradesh,-122.0,252.0
Jharkhand,47.0,52.0
Karnataka,-147.0,-176.0
Kerala,-127.0,-264.0
Madhyapradesh,-108.0,43.0
Maharashtra,-167.0,-61.0
Manipur,234.0,84.0
Meghalaya,185.0,103.0
Mizoram,208.0,44.0
Nagaland,238.0,114.0
Odisha,36.0,-16.0
Punjab,-165.0,225.0
Rajasthan,-219.0,128.0
Sikkim,115.0,151.0
Tamilnadu,-98.0,-227.0
Telangana,-102.0,-72.0
Tripura,182.0,52.0
Uttarakhand,-95.0,204.0
Uttarpradesh,-75.0,133.0
Westbengal,100.0,49.0
Newdelhi,-117.0,162.0
